ChatID	Autor	Phrase	Timestamp
14233511	Оператор	в программе будет выслано на кого регистрировали, лучше напишите еще раз если код доступа не поступит, вышлем, просто его пока нет в базе 	2025-03-10 08:51:25.280000+03:00
14233511	Оператор	хорошего Вам дня 	2025-03-10 08:52:02.975000+03:00
14233511	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:02:10.957000+03:00
14233522	Оператор	Вот ссылка на материал, который должен Вам помочь: 	2025-03-10 09:49:55.242000+03:00
14233555	Пользователь	отлично	2025-03-10 08:56:47.597000+03:00
14233555	Оператор	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.	2025-03-10 08:57:30.290000+03:00
14233555	Оператор	Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!	2025-03-10 09:07:34.474000+03:00
14233619	Оператор	Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!	2025-03-10 08:55:05.398000+03:00
14233637	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами в этом месяце:    	2025-03-10 08:54:08.661000+03:00
14233645	Оператор	по аналогии см.  	2025-03-10 08:56:21.385000+03:00
14233645	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 08:56:26.746000+03:00
14233645	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярным материалом Системы:  	2025-03-10 09:06:26.248000+03:00
14233700	Оператор	есть следующий материал  	2025-03-10 09:01:08.084000+03:00
14233700	Пользователь	Но здесь не указан счет 304 01 ??? Как быть ???	2025-03-10 09:02:55.281000+03:00
14233700	Оператор	К сожалению, не получили от Вас уточнений, необходимых для корректного ответа на Ваш вопрос. Если вопрос по-прежнему актуален, пожалуйста, когда Вам будет удобно, задайте вопрос заново.	2025-03-10 09:26:02.123000+03:00
14233700	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:26:06.246000+03:00
14233769	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 08:51:48.714000+03:00
14233769	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:01:48.153000+03:00
14233780	Оператор	"Ваш вопрос оформлен под №[4564504]. Ответ на него будет готов в течение 48-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  ""/ "">сайте ."	2025-03-10 09:09:42.358000+03:00
14233780	Оператор	Формат коротких и быстрых онлайн-консультаций не позволяет раскрыть ответ в чате более подробно. Я передала Ваш вопрос моим коллегам для подготовки подробного письменного ответа. Он будет готов не позднее 48-х часов.	2025-03-10 09:09:49.953000+03:00
14233780	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами Системы Охрана труда:    	2025-03-10 09:19:53.929000+03:00
14233786	Оператор	Здравствуйте, Тамара Васильевна	2025-03-10 08:50:41.685000+03:00
14233786	Оператор	Тамара Васильевна, онлайн помощник такими сведениями не располагает. Следите за изменеиями в анной рекомендации  	2025-03-10 08:51:39.355000+03:00
14233786	Оператор	Минутку, пожалуйста...	2025-03-10 08:57:04.486000+03:00
14233791	Оператор	Ставки налога на прибыль в 2025 году:   	2025-03-10 08:52:38.028000+03:00
14233791	Оператор	Какими документами подтвердить расходы на билет:   	2025-03-10 08:52:43.025000+03:00
14233791	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 08:52:47.887000+03:00
14233795	Оператор	Наталья Викторовна, Благодарим за пользование Системой Госфинансы. Желаем доброго настроения и комфортной работы! Ждем Вас в Системе с новыми вопросами.	2025-03-10 09:20:04.710000+03:00
14233802	Пользователь	Организация УСН 6% имеет имущество стоящее на кадастровом учете. Что нужно сдавать в налоговую уведомления об авансовых платежах или декларацию по налогу на имущество?	2025-03-10 08:52:04.522000+03:00
14233802	Оператор	Здравствуйте, Плюс -	2025-03-10 08:52:10.728000+03:00
14233802	Оператор	Минутку, пожалуйста...	2025-03-10 08:52:31.435000+03:00
14233802	Оператор	Сдавать уведомление для ЕНП по налогу на имущество,    Организации на УСН декларацию по налогу на имущество не подают,  	2025-03-10 08:55:45.504000+03:00
14233802	Оператор	Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!	2025-03-10 09:14:36.432000+03:00
14233832	Пользователь	ниже какой температуры предоставляется время на обогрев	2025-03-10 08:55:26.264000+03:00
14233832	Оператор	Здравствуйте, Галина Ивановна	2025-03-10 08:55:32.050000+03:00
14233832	Оператор	 	2025-03-10 08:56:27.859000+03:00
14233832	Оператор	Время на обогрев предоставляется при температуре воздуха, которая не ниже 21–25 °C. Во избежание переохлаждения работникам не следует находиться на холоде в течение более 10 минут при температуре воздуха до -10 °C и не более 5 минут при температуре ниже этой отметки.	2025-03-10 08:56:36.443000+03:00
14233832	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 08:56:40.623000+03:00
14233852	Пользователь	Возник вопрос касательно сдачи пром.безопасности А1 сотрудниками цеха, сама база у нас не является ОПО, требований от заказчика о сдаче пром.безопасности нет. Ежегодно мы делаем страховку на транспортный участок, т.е пром.без. должны сдавать механики и логисты, кто работает с КМУ, остальные (сотрудники цеха) почему должны или не должны сдавать А1	2025-03-10 08:56:53.485000+03:00
14233852	Оператор	За нарушение требования о подготовке рабочих по промбезопасности, к аттестации либо о повышении квалификации по промбезопасности грозит привлечение к ответственности по части 1 статьи 9.1 КоАП:  должностных лиц — штраф от 20 тыс. до 30 тыс. руб. или дисквалификация на срок от шести месяцев до одного года; юридических лиц — штраф от 200 тыс. до 300 тыс. руб. или административное приостановление деятельности на срок до 90 суток. Если работники организации не прошли аттестацию по промбезопасности, инспектор Ростехнадзора может привлечь организацию и должностных лиц к ответственности по части 1 статьи 9.1 КоАП:  должностных лиц — штраф от 20 тыс. до 30 тыс. руб. или дисквалификация на срок от шести месяцев до одного года; юридических лиц — штраф от 200 тыс. до 300 тыс. руб. или административное приостановление деятельности на срок до 90 суток. Подробнее:  	2025-03-10 09:20:11.595000+03:00
14233852	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:30:19.180000+03:00
14233864	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 11:09:26.580000+03:00
14233864	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами Системы: 	2025-03-10 11:19:25.892000+03:00
14233870	Оператор	Здравствуйте, Елена Геннадиевна	2025-03-10 08:58:19.656000+03:00
14233870	Оператор	Какие группы активов переоценивать, а какие — нет, решает компания.  	2025-03-10 09:03:17.128000+03:00
14233870	Оператор	Я могу вам помочь чем-нибудь еще?	2025-03-10 09:07:19.584000+03:00
14233870	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:07:36.744000+03:00
14233870	Оператор	Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!	2025-03-10 09:17:36.647000+03:00
14233913	Пользователь	здравсвуйте вопрос:	2025-03-10 09:00:53.760000+03:00
14233913	Оператор	Здравствуйте, Ильмира Альфатовна	2025-03-10 09:00:59.682000+03:00
14233913	Оператор	Вижу ваше обращение, пожалуйста, ожидайте 	2025-03-10 09:01:59.658000+03:00
14233928	Пользователь	babkov.su@gtrf.ru это Бабков, ни записаться на практические занятия не может, ни учиться..	2025-03-10 09:04:38.925000+03:00
14233928	Пользователь	может уже проще удалить его и заново пригласить и назначить программу? Неделя уже прошла	2025-03-10 09:10:04.480000+03:00
14233928	Пользователь	nan	2025-03-10 09:13:32.522000+03:00
14233928	Пользователь	nan	2025-03-10 09:13:47.430000+03:00
14233943	Пользователь	Отлично! Большое спасибо!!!	2025-03-10 09:02:13.908000+03:00
14233943	Оператор	Здравствуйте, Татьяна Ивановна	2025-03-10 09:02:20.010000+03:00
14234007	Оператор	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  	2025-03-10 09:06:42.727000+03:00
14234007	Оператор	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  	2025-03-10 09:07:16.463000+03:00
14234007	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:08:56.901000+03:00
14234007	Оператор	"Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем посмотреть спецпроект  "" "">Главное в марте  Узнаете об изменениях в работе, скачаете новые образцы документов и памятки. "	2025-03-10 09:18:57.687000+03:00
14234013	Пользователь	Здравствуйте, на главной странице в строке - рекомендации, правовая база, шаблоны и тд в конце списка нужно чтобы новости отображались Алтайского края. Не нашел как испавить это	2025-03-10 09:06:33.769000+03:00
14234013	Оператор	Здравствуйте, Дмитрий Владимирович	2025-03-10 09:06:39.257000+03:00
14234013	Оператор	Минуту, пожалуйста	2025-03-10 09:07:39.597000+03:00
14234013	Оператор	Выше есть строка (в самом верху, ближе к правому краю экрана), где можно указать регион.	2025-03-10 09:10:26.254000+03:00
14234019	Пользователь	"здравствуйте интересуют 2 вопроса. ответы на них нужны сегодня. 1. интересует судебная практика по Москве и области, а также Санкт - Петербург о признании недействительной и (или) незаконно выданной ЭЦП. После незаконной выдачи ЭЦП мошенники получили кредит. Интересует судебная практика вообщем и в частности с ответчиком ООО ""Сберкорус"" ( ООО ""Корус Консалтинг СНГ"" ) ИНН 7801392271."	2025-03-10 09:06:44.366000+03:00
14234019	Оператор	Минуту	2025-03-10 09:07:02.874000+03:00
14234019	Оператор	Передаю Ваш вопрос эксперту. Пожалуйста, оставайтесь в чате.	2025-03-10 09:07:28.142000+03:00
14234019	Пользователь	второй вопрос. 03.12.2024 было подано заявление через портал гос услуг на получение земельного участка, однако при подаче заявления ошибочно был выбран пункт на строительство. с 01.01.2025 года на Ямале поменялся закон о предоставлении земельного участка многодетным семьям. в связи с этим есть вопросы:1. может ли администрация города заявку от 03.12.2024 просто переквалифицировать, например на лпх, 2. срок ответа у администрации по регламенту на заявление. Как получить земельный участок? Интересует также сам закон от 01.01.2025 Ямала и регламент администрации по предоставлению данной муниципальной услуги	2025-03-10 09:14:00.792000+03:00
14234019	Оператор	На данный момент Вы обратились в техническую поддержку. Перейдите в свою систему Юрист, там онлайн-помощник отвечает на проф.вопросы	2025-03-10 09:29:18.561000+03:00
14234019	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:29:29.311000+03:00
14234019	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:39:28.610000+03:00
14234045	Оператор	Рада была помочь	2025-03-10 09:21:46.320000+03:00
14234057	Оператор	Здравствуйте, Ольга 	2025-03-10 09:08:44.186000+03:00
14234059	Пользователь	Почему на мой почтовый адрес приходят сообщения, несмотря на многократные отписки от рассылок.	2025-03-10 09:08:40.301000+03:00
14234059	Оператор	Здравствуйте, Татьяна 	2025-03-10 09:08:46.585000+03:00
14234059	Оператор	Минуту, пожалуйста	2025-03-10 09:09:47.345000+03:00
14234059	Оператор	Убрала вашу почту из рассылок, рассылки не поступят снова	2025-03-10 09:09:50.653000+03:00
14234059	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:20:01.034000+03:00
14234102	Пользователь	Почему я на мобильном устройстве перестала заходить в личный кабинет Актион.	2025-03-10 09:10:41.138000+03:00
14234102	Оператор	Здравствуйте, Баярма Барадиевна	2025-03-10 09:10:47.144000+03:00
14234102	Оператор	Минуту	2025-03-10 09:11:01.895000+03:00
14234102	Оператор	Уточните, какую ошибку выдает программа, когда заходите в Профиль с мобильного устройства? 	2025-03-10 09:13:04.497000+03:00
14234102	Пользователь	Здравствуйте	2025-03-10 09:15:39.466000+03:00
14234102	Оператор	Минуту	2025-03-10 09:15:52.192000+03:00
14234102	Оператор	Уточните, какую ошибку выдает программа, когда заходите в Профиль с мобильного устройства?	2025-03-10 09:16:16.951000+03:00
14234102	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:19:05.889000+03:00
14234102	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:29:05.420000+03:00
14234108	Пользователь	добрый день.какая последняя редакция Закон Республики Крым от 25.12.2014 N 51-ЗРК/2014 статья 17 ?	2025-03-10 09:10:58.683000+03:00
14234108	Оператор	Здравствуйте, Елена Владимировна	2025-03-10 09:11:04.629000+03:00
14234108	Оператор	Минуту, пожалуйста	2025-03-10 09:12:04.597000+03:00
14234108	Оператор	Сейчас я займусь Вашим вопросом.	2025-03-10 09:24:55.208000+03:00
14234108	Оператор	Елена Владимировна, (статья 17 с изменениями на 4 июля 2018 года)  	2025-03-10 09:27:42.166000+03:00
14234108	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:27:47.039000+03:00
14234108	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярным материалом Системы:  	2025-03-10 09:37:46.665000+03:00
14234120	Оператор	Здравствуйте, Роман Владимирович	2025-03-10 09:11:29.090000+03:00
14234120	Оператор	Передаю вопрос Преподавателю, оставайтесь в чате, пожалуйста	2025-03-10 09:11:35.943000+03:00
14234124	Пользователь	Здравствуйте! Не могу войти в личный кабинет. Еще на прошлой неделе автоматический вход был, а сейчас - ни в какую	2025-03-10 09:11:42.064000+03:00
14234124	Оператор	Минуту, пожалуйста	2025-03-10 09:12:49.304000+03:00
14234124	Пользователь	Проблема не решаемая?	2025-03-10 09:24:18.122000+03:00
14234124	Оператор	Елена Николаевна, в чем именно проблема? Вы пишите из Личного кабинета сейчас 	2025-03-10 09:24:58.049000+03:00
14234124	Пользователь	да. Но в правом верхнем углу (в сером поле) требуется вход и регистрация, обычно там моё имя. Статьи читать не могу - пишет, что доступно только авторизированным пользователям или нужен временный доступ. Также, не могу посмотреть учатся ли мои сотрудники	2025-03-10 09:29:43.442000+03:00
14234124	Оператор	 	2025-03-10 09:37:09.719000+03:00
14234124	Оператор	все работает корректно 	2025-03-10 09:37:18.862000+03:00
14234124	Оператор	"Для решения проблемы рекомендую корректно очистить кэш/куки: Находясь в браузере нажать Ctrl+Shift+Del откроется страница ""Очистка истории"" В верхней части меню в выпадающем списке выбрать ""За всё время"" Выбрать галочкой только ""Файлы, сохраненные в кэше"" и ""Файлы cookie"" Нажать ""Очистить"""	2025-03-10 09:37:40.211000+03:00
14234124	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 11:01:49.679000+03:00
14234152	Пользователь	Добрый день! сотрудник работает в Беларуссии на удаленке по трудовому договору собирается ехать в командировку в Россию, суточные ему считаются как заграничная командировка?	2025-03-10 09:13:11.224000+03:00
14234152	Оператор	Здравствуйте, Екатерина 	2025-03-10 09:13:17.266000+03:00
14234152	Оператор	Минуту, пожалуйста	2025-03-10 09:14:18.243000+03:00
14234152	Оператор	На ваш вопрос понадобится больше времени — мы изучим ситуацию и ответим вам во вкладке чата «Письменно». Сроки ответа могут быть увеличены (более 24 часов) из-за большой загруженности экспертной поддержки в связи с налоговой реформой. Приносим извинения за доставленные неудобства, мы стараемся в ближайшее время вернуть прежний срок ответов.   Вы согласны подождать?	2025-03-10 09:15:07.563000+03:00
14234152	Пользователь	ок	2025-03-10 09:22:19.475000+03:00
14234152	Оператор	"Ваш вопрос оформлен под №[4564529]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  "" "">сайте ."	2025-03-10 09:22:34.716000+03:00
14234152	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:23:05.689000+03:00
14234192	Пользователь	Здравствуйте. Подскажите пожалуйста входит ли в педагогический стаж должность библиотекаря за период работы с 2005 по настоящее время?	2025-03-10 09:15:31.316000+03:00
14234192	Оператор	Здравствуйте, Арина Григорьевна	2025-03-10 09:15:37.096000+03:00
14234192	Оператор	Минуту, пожалуйста	2025-03-10 09:16:37.903000+03:00
14234192	Оператор	Просим уточнить, речь про стаж для пенсии, надбавки, больничного?	2025-03-10 09:21:05.615000+03:00
14234192	Пользователь	мы принимаем человека на работу и нам нужно подсчитать ее педагогический стаж для подтверждения процентов для оплаты выслуге лет.	2025-03-10 09:24:25.509000+03:00
14234192	Оператор	Чтобы ответить на Ваш вопрос потребуется дополнительный анализ ситуации. Я переведу Ваш вопрос коллегам для подготовки подробного письменного ответа. Если у Вас есть дополнения – напишите.	2025-03-10 09:25:41.891000+03:00
14234192	Оператор	"Ваш вопрос оформлен под №[4564548]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  ""/#/document/184/5953/"">сайте ."	2025-03-10 09:30:02.802000+03:00
14234192	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами в этом месяце:    	2025-03-10 09:40:09.105000+03:00
14234197	Оператор	Как рассчитать и уволить умершего сотрудника/Страховые взносы в ИФНС и на травматизм  	2025-03-10 09:42:18.026000+03:00
14234255	Пользователь	Добрый день! Подскажите, надо ли проводить инвентаризацию для восстановления сомнительной задолженности на балансе или достаточно решения комиссии по ранее принятому решению о признании задолженности - сомнительной?	2025-03-10 09:19:02.419000+03:00
14234255	Оператор	Минуту, пожалуйста	2025-03-10 09:20:09.090000+03:00
14234255	Оператор	Татьяна Ивановна, о какой задолженности речь?	2025-03-10 09:27:36.999000+03:00
14234255	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:35:30.371000+03:00
14234255	Пользователь	у меня вопрос не в корреспонденции, а в документальном оформлении	2025-03-10 09:43:40.399000+03:00
14234255	Оператор	Татьяна Ивановна, в материале выше есть ответ на ваш вопрос.	2025-03-10 09:45:33.825000+03:00
14234255	Пользователь	оформлять инвентаризационную опись надо или нет?	2025-03-10 09:46:30.068000+03:00
14234255	Оператор	Татьяна Ивановна, нет, достаточно решения комиссии.	2025-03-10 09:47:25.820000+03:00
14234255	Пользователь	а где об этом написано?	2025-03-10 09:47:44.757000+03:00
14234255	Пользователь	в каком нормативно-правовом акте	2025-03-10 09:47:57.134000+03:00
14234255	Оператор	"Ваш вопрос оформлен под №[4564601]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  "" "">сайте ."	2025-03-10 09:51:29.770000+03:00
14234260	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами в этом месяце:    	2025-03-10 09:43:50.379000+03:00
14234278	Пользователь	Доброе утро. Подскажите пожалуйста, нужно ли утверждать руководителем организации программу стажировки работника?	2025-03-10 09:21:22.273000+03:00
14234278	Оператор	Здравствуйте, Сергей Иванович	2025-03-10 09:21:28.075000+03:00
14234278	Оператор	Минуту, пожалуйста	2025-03-10 09:22:28.671000+03:00
14234278	Оператор	Законодательством не определено, кто должен разрабатывать программу стажировки, поэтому работодатель сам определяет, кого назначить ответственным за разработку. Чтобы назначить ответственного, составляют локальный нормативный акт или закрепляют эту обязанность в должностной инструкции.  На практике программу разрабатывает руководитель структурного подразделения, в которое направляют нового работника. Затем он согласовывает программу со службой охраны труда, профсоюзом и утверждает у руководителя организации.	2025-03-10 09:42:35.065000+03:00
14234278	Пользователь	спасибо большое	2025-03-10 11:02:46.349000+03:00
14234278	Оператор	Пожалуйста! Всегда рады быть Вам полезными!	2025-03-10 11:03:22.069000+03:00
14234278	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 11:08:00.204000+03:00
14234299	Оператор	Передал ваше обращение в редакцию. 	2025-03-10 09:39:58.177000+03:00
14234359	Пользователь	Здравствуйте! Хотела узнать статус обращения №38408815	2025-03-10 09:25:47.646000+03:00
14234359	Оператор	Здравствуйте, Наталья Валерьевна	2025-03-10 09:25:54.182000+03:00
14234359	Оператор	Минуту	2025-03-10 09:26:44.932000+03:00
14234370	Пользователь	Добрый день! Направляла запрос на получение доступа в Правовой базе, так как это было обещано как бонус при заключении догвора на обучение. Ответа нет с 5 марта. Ольга Викторвна Рябинина	2025-03-10 09:26:27.695000+03:00
14234370	Оператор	Здравствуйте, Ольга Викторовна	2025-03-10 09:26:34.046000+03:00
14234370	Оператор	Минуту, пожалуйста	2025-03-10 09:27:33.524000+03:00
14234370	Оператор	Вам должны были прислать ответ на почту или свяжитесь по номеру на сайте	2025-03-10 09:31:28.502000+03:00
14234370	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова	2025-03-10 09:41:38.088000+03:00
14234392	Пользователь	Добрый день подскажите пожалуйста, организация заключили договор на оказание услуг по хранению нефтепродуктов с НДС в 2021 году в 2023 году договор был расторгнут, услуги за хранение не выставлялись, а теперь хранитель собирается выставить счет на услуги, но хранитель находятся с 2024 года на УСНО, (доход не превышал 60 млн рублей за 2024 год) какую ставку НДС они обязаны указать или имеют право указывать ставку НДС, если договор заключен с НДС, но ставка не указана?	2025-03-10 09:27:26.001000+03:00
14234392	Оператор	Здравствуйте, Екатерина 	2025-03-10 09:27:32.304000+03:00
14234392	Оператор	Минутку, пожалуйста...	2025-03-10 09:27:50.811000+03:00
14234392	Пользователь	здравствуйте. Какие доходы сотрудника Не входят в среднедневной заработок.	2025-03-10 09:29:31.439000+03:00
14234392	Оператор	Не совсем ясен вопрос. Если хранитель на УСН и применяет освобождение от уплаты НДС по ст. 145 НК РФ, то он не обязан выставлять свои услуги с НДС  	2025-03-10 09:29:47.399000+03:00
14234392	Оператор	"""Какие доходы сотрудника Не входят в среднедневной заработок."" Уточните, пожалуйста, для каких целей заработок рассчитываете?"	2025-03-10 09:30:18.793000+03:00
14234392	Оператор	Не получили от вас уточнений для корректного ответа. Если вопрос по-прежнему актуален, уточните его, пожалуйста, и напишите нам в чат.  Как считать средний заработок  	2025-03-10 09:34:19.973000+03:00
14234392	Оператор	Вы можете оценить мой ответ в конце диалога	2025-03-10 09:34:26.382000+03:00
14234392	Пользователь	Для расчета отпускных, при увольнении	2025-03-10 09:38:57.026000+03:00
14234392	Оператор	Минутку, пожалуйста...	2025-03-10 09:39:10.716000+03:00
14234392	Оператор	Какие выплаты не учитывать при расчете компенсации за неиспользованный отпуск  	2025-03-10 09:39:42.299000+03:00
14234392	Оператор	Если у вас остались вопросы, нужны уточнения или более подробный ответ, пожалуйста, напишите мне. Я подберу дополнительные материалы или передам ваш вопрос в экспертную поддержку. Удачного дня!	2025-03-10 09:49:47.336000+03:00
14234392	Пользователь	Договор заключен с НДС, в 2021 году услуги не выставлялись, теперь решили выставить, как быть с НДС	2025-03-10 09:51:43.698000+03:00
14234402	Пользователь	Добрый день! ООО на 6% продает дебиторскую задолженность ООО и в оплату получает от этого ООО денежные средства.С какой суммы оплатить налог?	2025-03-10 09:28:06.168000+03:00
14234402	Оператор	Здравствуйте, Лариса Анатольевна	2025-03-10 09:28:12.246000+03:00
14234402	Оператор	Уже ищу ответ. Подождите, пожалуйста.	2025-03-10 09:28:56.177000+03:00
14234402	Оператор	Как цеденту учесть уступку права требования при упрощенке  	2025-03-10 09:30:20.516000+03:00
14234402	Пользователь	Спасибо	2025-03-10 09:33:21.306000+03:00
14234402	Оператор	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.	2025-03-10 09:33:37.394000+03:00
14234407	Оператор	Здравствуйте, Леонид Федорович	2025-03-10 09:28:19.857000+03:00
14234407	Пользователь	добрый день	2025-03-10 09:28:30.835000+03:00
14234407	Оператор	Минуту, пожалуйста	2025-03-10 09:29:20.238000+03:00
14234407	Оператор	Чем я могу Вам помочь?	2025-03-10 09:37:29.799000+03:00
14234458	Оператор	Всего доброго! Если у Вас появятся вопросы, ждем Вас снова. Рекомендуем ознакомиться с популярными материалами в этом месяце:    	2025-03-10 09:47:23.789000+03:00
14234528	Пользователь	как перечислить возврат пенсии опекуну подопечного интерната	2025-03-10 09:33:53.205000+03:00
14234528	Оператор	Опишите, пожалуйста, подробнее Вашу хозяйственную ситуацию.	2025-03-10 09:34:20.606000+03:00
14234528	Пользователь	Подопечная интерната 6 месяцев не находилась в интернате - т.е. соц услуги не получала, ее официальный опекун требует возврат средств полученных интернатом за этот период. Как правильно перечислить этот возврат	2025-03-10 09:38:12.787000+03:00
14234528	Оператор	Корректный и полный ответ на Ваш вопрос потребует подборки материалов и дополнительного анализа ситуации. С Вашего разрешения я переведу Ваш вопрос коллегам в экспертную поддержку для подготовки подробного письменного ответа, который Вы получите не позднее 24 часов. Оформить Ваш вопрос в экспертную поддержку?	2025-03-10 09:39:04.437000+03:00
14234528	Пользователь	да	2025-03-10 09:40:05.380000+03:00
14234528	Оператор	"Ваш вопрос оформлен под №[4564582]. Ответ на него будет готов в течение 24-х часов и вы можете посмотреть его на вкладке Письменно. Подробнее ознакомиться с правилами подготовки и получения ответов экспертов, Вы можете на нашем  "" "">сайте ."	2025-03-10 09:40:37.487000+03:00
